timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597188451701,8,HomePage,200,OK,Thread Group 1-39,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188451797,8,HomePage,200,OK,Thread Group 1-40,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188451806,8,HomePage,200,OK,Thread Group 1-40,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188451839,8,HomePage,200,OK,Thread Group 1-42,text,true,,15067,116,2,2,http://127.0.0.1:4000/,8,0,1
1597188451846,11,HomePage,200,OK,Thread Group 1-41,text,true,,15067,116,2,2,http://127.0.0.1:4000/,11,0,2
1597188451848,9,HomePage,200,OK,Thread Group 1-42,text,true,,15067,116,2,2,http://127.0.0.1:4000/,9,0,1
1597188451858,7,HomePage,200,OK,Thread Group 1-41,text,true,,15067,116,1,1,http://127.0.0.1:4000/,6,0,1
1597188451886,8,HomePage,200,OK,Thread Group 1-43,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188451895,8,HomePage,200,OK,Thread Group 1-43,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188451996,9,HomePage,200,OK,Thread Group 1-44,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188452006,7,HomePage,200,OK,Thread Group 1-44,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188452034,9,HomePage,200,OK,Thread Group 1-46,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188452043,10,HomePage,200,OK,Thread Group 1-46,text,true,,15067,116,2,2,http://127.0.0.1:4000/,10,0,1
1597188452045,9,HomePage,200,OK,Thread Group 1-45,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,2
1597188452055,7,HomePage,200,OK,Thread Group 1-45,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188452083,9,HomePage,200,OK,Thread Group 1-47,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,2
1597188452093,7,HomePage,200,OK,Thread Group 1-47,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188452192,6,HomePage,200,OK,Thread Group 1-48,text,true,,15067,116,1,1,http://127.0.0.1:4000/,6,0,1
1597188452199,7,HomePage,200,OK,Thread Group 1-48,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188452230,9,HomePage,200,OK,Thread Group 1-50,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,2
1597188452239,8,HomePage,200,OK,Thread Group 1-50,text,true,,15067,116,2,2,http://127.0.0.1:4000/,7,0,1
1597188452242,9,HomePage,200,OK,Thread Group 1-49,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,0
1597188452252,6,HomePage,200,OK,Thread Group 1-49,text,true,,15067,116,1,1,http://127.0.0.1:4000/,5,0,1
1597188452280,9,HomePage,200,OK,Thread Group 1-51,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,2
1597188452289,7,HomePage,200,OK,Thread Group 1-51,text,true,,15067,116,1,1,http://127.0.0.1:4000/,6,0,1
1597188452387,6,HomePage,200,OK,Thread Group 1-52,text,true,,15067,116,1,1,http://127.0.0.1:4000/,5,0,1
1597188452393,7,HomePage,200,OK,Thread Group 1-52,text,true,,15067,116,1,1,http://127.0.0.1:4000/,6,0,1
1597188452423,6,HomePage,200,OK,Thread Group 1-54,text,true,,15067,116,1,1,http://127.0.0.1:4000/,6,0,1
1597188452430,9,HomePage,200,OK,Thread Group 1-54,text,true,,15067,116,2,2,http://127.0.0.1:4000/,9,0,1
1597188452438,7,HomePage,200,OK,Thread Group 1-53,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188452446,8,HomePage,200,OK,Thread Group 1-53,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188452474,8,HomePage,200,OK,Thread Group 1-55,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188452483,8,HomePage,200,OK,Thread Group 1-55,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188452583,8,HomePage,200,OK,Thread Group 1-56,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,2
1597188452591,11,HomePage,200,OK,Thread Group 1-56,text,true,,15067,116,1,1,http://127.0.0.1:4000/,11,0,2
1597188452622,11,HomePage,200,OK,Thread Group 1-58,text,true,,15067,116,2,2,http://127.0.0.1:4000/,10,0,1
1597188452633,10,HomePage,200,OK,Thread Group 1-58,text,true,,15067,116,2,2,http://127.0.0.1:4000/,9,0,1
1597188452634,9,HomePage,200,OK,Thread Group 1-57,text,true,,15067,116,2,2,http://127.0.0.1:4000/,8,0,2
1597188452643,9,HomePage,200,OK,Thread Group 1-57,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188452671,9,HomePage,200,OK,Thread Group 1-59,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,3
1597188452681,14,HomePage,200,OK,Thread Group 1-59,text,true,,15067,116,1,1,http://127.0.0.1:4000/,14,0,1
1597188452783,12,HomePage,200,OK,Thread Group 1-60,text,true,,15067,116,1,1,http://127.0.0.1:4000/,12,0,1
1597188452796,9,HomePage,200,OK,Thread Group 1-60,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,1
1597188452817,13,HomePage,200,OK,Thread Group 1-62,text,true,,15067,116,2,2,http://127.0.0.1:4000/,12,0,3
1597188452830,16,HomePage,200,OK,Thread Group 1-62,text,true,,15067,116,2,2,http://127.0.0.1:4000/,16,0,1
1597188452832,15,HomePage,200,OK,Thread Group 1-61,text,true,,15067,116,2,2,http://127.0.0.1:4000/,14,0,1
1597188452847,9,HomePage,200,OK,Thread Group 1-61,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,1
1597188452868,10,HomePage,200,OK,Thread Group 1-63,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,1
1597188452878,8,HomePage,200,OK,Thread Group 1-63,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188452975,10,HomePage,200,OK,Thread Group 1-64,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,2
1597188452986,15,HomePage,200,OK,Thread Group 1-64,text,true,,15067,116,1,1,http://127.0.0.1:4000/,15,0,2
1597188453014,12,HomePage,200,OK,Thread Group 1-66,text,true,,15067,116,2,2,http://127.0.0.1:4000/,12,0,1
1597188453027,15,HomePage,200,OK,Thread Group 1-66,text,true,,15067,116,2,2,http://127.0.0.1:4000/,15,0,1
1597188453028,24,HomePage,200,OK,Thread Group 1-65,text,true,,15067,116,1,1,http://127.0.0.1:4000/,24,0,1
1597188453053,16,HomePage,200,OK,Thread Group 1-65,text,true,,15067,116,1,1,http://127.0.0.1:4000/,15,0,1
1597188453086,26,HomePage,200,OK,Thread Group 1-67,text,true,,15067,116,1,1,http://127.0.0.1:4000/,26,0,3
1597188453113,30,HomePage,200,OK,Thread Group 1-67,text,true,,15067,116,1,1,http://127.0.0.1:4000/,29,0,1
1597188453184,22,HomePage,200,OK,Thread Group 1-68,text,true,,15067,116,1,1,http://127.0.0.1:4000/,22,0,1
1597188453207,22,HomePage,200,OK,Thread Group 1-68,text,true,,15067,116,2,2,http://127.0.0.1:4000/,22,0,1
1597188453219,62,HomePage,200,OK,Thread Group 1-70,text,true,,15067,116,3,3,http://127.0.0.1:4000/,62,0,1
1597188453236,62,HomePage,200,OK,Thread Group 1-69,text,true,,15067,116,3,3,http://127.0.0.1:4000/,62,0,1
1597188453263,62,HomePage,200,OK,Thread Group 1-71,text,true,,15067,116,3,3,http://127.0.0.1:4000/,62,0,2
1597188453282,96,HomePage,200,OK,Thread Group 1-70,text,true,,15067,116,3,3,http://127.0.0.1:4000/,96,0,1
1597188453299,99,HomePage,200,OK,Thread Group 1-69,text,true,,15067,116,3,3,http://127.0.0.1:4000/,99,0,1
1597188453326,105,HomePage,200,OK,Thread Group 1-71,text,true,,15067,116,3,3,http://127.0.0.1:4000/,104,0,1
1597188453385,69,HomePage,200,OK,Thread Group 1-72,text,true,,15067,116,2,2,http://127.0.0.1:4000/,68,0,1
1597188453430,56,HomePage,200,OK,Thread Group 1-73,text,true,,15067,116,3,3,http://127.0.0.1:4000/,56,0,1
1597188453455,40,HomePage,200,OK,Thread Group 1-72,text,true,,15067,116,3,3,http://127.0.0.1:4000/,40,0,0
1597188453479,24,HomePage,200,OK,Thread Group 1-74,text,true,,15067,116,3,3,http://127.0.0.1:4000/,24,0,1
1597188453487,31,HomePage,200,OK,Thread Group 1-73,text,true,,15067,116,3,3,http://127.0.0.1:4000/,31,0,1
